CVE-2015-4004,119,,DoS Overflow +Info,2015-06-07,2015-06-08,8.5,None,Remote,Low,Not required,Partial,None,Complete,NA
CVE-2015-4003,189,,DoS,2015-06-07,2015-06-08,7.8,None,Remote,Low,Not required,None,None,Complete,oz_usb_handle_ep_data
CVE-2015-4002,119,,DoS Exec Code Overflow,2015-06-07,2015-06-08,9.0,None,Remote,Low,Not required,Partial,Partial,Complete,oz_usb_rx
CVE-2015-4001,189,,DoS Exec Code,2015-06-07,2015-06-08,9.0,None,Remote,Low,Not required,Partial,Partial,Complete,oz_hcd_get_desc_cnf,NA
CVE-2015-3339,362,,+Priv,2015-05-27,2015-06-30,6.2,None,Local,High,Not required,Complete,Complete,Complete,bprm_fill_uid,prepare_binprm
CVE-2015-3332,399,,DoS,2015-05-27,2015-06-03,4.9,None,Local,Low,Not required,None,None,Complete,NA
CVE-2015-3331,119,,DoS Exec Code Overflow,2015-05-27,2015-06-03,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,__driver_rfc4106_decrypt
CVE-2015-2922,17,,,2015-05-27,2015-06-30,3.3,None,Local Network,Low,Not required,None,None,Partial,ndisc_router_discovery
CVE-2015-2830,264,,Bypass,2015-05-27,2015-06-30,1.9,None,Local,Medium,Not required,None,Partial,None,NA
CVE-2015-2666,119,,Overflow +Priv,2015-05-27,2015-05-27,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,NA
CVE-2015-2042,17,,+Info,2015-04-21,2015-06-03,4.6,None,Local,Low,Not required,Partial,Partial,Partial,NA
CVE-2015-2041,17,,+Info,2015-04-21,2015-06-03,4.6,None,Local,Low,Not required,Partial,Partial,Partial,NA
CVE-2015-1593,264,,Bypass,2015-03-16,2015-06-03,5.0,None,Remote,Low,Not required,Partial,None,None,stack_maxrandom_size,randomize_stack_top
CVE-2015-1465,17,,DoS,2015-04-05,2015-04-09,7.8,None,Remote,Low,Not required,None,None,Complete,NA,ip_forward,__mkroute_input,rt_fill_info
CVE-2015-1421,,,DoS,2015-03-16,2015-05-13,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,NA
CVE-2015-1420,362,,Bypass,2015-03-16,2015-03-18,2.1,None,Local,Low,Not required,Partial,None,None,NA
CVE-2015-1212,,,DoS,2015-02-06,2015-03-11,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,NA
CVE-2015-1211,264,,+Priv,2015-02-06,2015-03-11,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,NA
CVE-2015-1210,264,,Bypass,2015-02-06,2015-03-11,5.0,None,Remote,Low,Not required,None,Partial,None,NA
CVE-2015-1209,,,DoS,2015-02-06,2015-03-11,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,NA
CVE-2015-0797,119,,DoS Exec Code Overflow,2015-05-14,2015-06-03,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,NA
CVE-2015-0312,,,Exec Code,2015-01-28,2015-02-18,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,NA
CVE-2015-0274,19,,DoS +Priv,2015-03-16,2015-03-26,7.2,None,Local,Low,Not required,Complete,Complete,Complete,xfs_attr3_leaf_getvalue,xfs_attr3_leaf_list_int,xfs_attr_leaf_addname,xfs_attr_calc_size,NA,xfs_attr3_leaf_add_work,xfs_attr_rmtval_set,xfs_attr3_leaf_flipflags,xfs_attr3_leaf_lookup_int,xfs_attr_rmtval_get,xfs_attr_node_addname,xfs_attr3_leaf_clearflag
CVE-2015-0239,362,,DoS +Priv,2015-03-02,2015-03-25,4.7,None,Local,High,Not required,None,Partial,Complete,em_sysenter
CVE-2014-9715,,,DoS,2015-05-27,2015-06-03,4.9,None,Local,Low,Not required,None,None,Complete,NA
